                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0166,                  1.504,                  1.269,                0.47624,                0.48454,                0.46562,                0.35368,                0.91851,                 1.3077,                 1.1688,               0.006535,               0.006535,               0.006535
                     37,                 1.0055,                 1.4871,                 1.2649,                0.47225,                 0.4857,                0.46665,                0.35413,                0.91723,                 1.3047,                 1.1678,               0.006436,               0.006436,               0.006436
                     38,                 1.0093,                 1.4927,                 1.2654,                0.47675,                0.48035,                 0.4664,                0.35492,                0.91601,                  1.303,                  1.167,               0.006337,               0.006337,               0.006337
                     39,                 1.0032,                 1.4832,                 1.2603,                0.47303,                0.48713,                0.46667,                0.35594,                0.91484,                 1.3015,                 1.1657,               0.006238,               0.006238,               0.006238
                     40,                0.99958,                 1.4763,                 1.2592,                0.46281,                0.49926,                0.46732,                0.35691,                0.91317,                 1.2992,                 1.1641,               0.006139,               0.006139,               0.006139
                     41,                0.99776,                 1.4774,                 1.2577,                  0.458,                0.50262,                0.46822,                0.35713,                0.91181,                 1.2966,                 1.1628,                0.00604,                0.00604,                0.00604
                     42,                0.99498,                 1.4688,                 1.2541,                0.46743,                0.50123,                0.46982,                0.35834,                0.91097,                 1.2943,                 1.1619,               0.005941,               0.005941,               0.005941
                     43,                0.99141,                 1.4656,                 1.2503,                0.46392,                0.50419,                0.47129,                0.36009,                0.90998,                 1.2916,                 1.1611,               0.005842,               0.005842,               0.005842
                     44,                0.98795,                  1.456,                 1.2502,                0.44727,                0.51673,                0.47195,                0.36097,                0.90887,                 1.2887,                   1.16,               0.005743,               0.005743,               0.005743
                     45,                0.98521,                 1.4568,                 1.2476,                0.44948,                0.52068,                0.47435,                0.36268,                0.90755,                 1.2865,                 1.1584,               0.005644,               0.005644,               0.005644
                     46,                 0.9865,                 1.4564,                 1.2491,                0.46439,                0.51053,                0.47512,                0.36363,                0.90565,                 1.2857,                 1.1566,               0.005545,               0.005545,               0.005545
                     47,                0.97998,                 1.4425,                 1.2449,                0.47004,                0.50685,                0.47669,                0.36543,                0.90499,                 1.2838,                 1.1557,               0.005446,               0.005446,               0.005446
                     48,                0.97847,                  1.435,                 1.2397,                0.47821,                0.50096,                0.47767,                0.36588,                0.90443,                 1.2814,                 1.1549,               0.005347,               0.005347,               0.005347
                     49,                0.97829,                 1.4372,                 1.2387,                0.47724,                0.50703,                0.47852,                 0.3674,                0.90374,                 1.2794,                 1.1538,               0.005248,               0.005248,               0.005248
                     50,                0.97593,                 1.4327,                 1.2388,                 0.4807,                0.50733,                0.48075,                 0.3691,                0.90296,                  1.277,                 1.1528,               0.005149,               0.005149,               0.005149
                     51,                0.97209,                 1.4277,                 1.2342,                0.47695,                0.51466,                0.48243,                0.37052,                0.90273,                 1.2746,                 1.1523,                0.00505,                0.00505,                0.00505
                     52,                0.96593,                 1.4176,                 1.2337,                0.48191,                0.51101,                0.48277,                0.37146,                0.90224,                 1.2728,                 1.1516,               0.004951,               0.004951,               0.004951
                     53,                0.96584,                 1.4114,                 1.2315,                0.48386,                0.50716,                0.48352,                0.37242,                0.90146,                 1.2702,                 1.1507,               0.004852,               0.004852,               0.004852
                     54,                0.96542,                 1.4161,                 1.2296,                0.47044,                0.52217,                 0.4848,                0.37357,                0.90088,                  1.268,                 1.1499,               0.004753,               0.004753,               0.004753
                     55,                0.96137,                 1.4073,                 1.2254,                0.47842,                0.51622,                0.48537,                0.37402,                0.89903,                 1.2655,                 1.1484,               0.004654,               0.004654,               0.004654
                     56,                 0.9563,                 1.3971,                 1.2233,                0.48215,                 0.5156,                0.48582,                0.37464,                0.89804,                 1.2632,                 1.1473,               0.004555,               0.004555,               0.004555
                     57,                0.95376,                 1.3932,                 1.2221,                0.48164,                0.51793,                0.48595,                0.37458,                0.89713,                 1.2617,                 1.1464,               0.004456,               0.004456,               0.004456
                     58,                 0.9527,                 1.3844,                 1.2189,                0.48702,                 0.5147,                 0.4857,                0.37488,                0.89642,                 1.2603,                 1.1453,               0.004357,               0.004357,               0.004357
                     59,                0.94521,                 1.3797,                 1.2176,                0.48769,                0.51186,                0.48631,                0.37552,                0.89492,                 1.2586,                 1.1439,               0.004258,               0.004258,               0.004258
                     60,                0.94669,                 1.3807,                  1.215,                0.48371,                0.51401,                0.48723,                0.37677,                0.89372,                 1.2569,                 1.1427,               0.004159,               0.004159,               0.004159
                     61,                0.93848,                 1.3672,                  1.213,                0.48552,                0.51152,                0.48791,                0.37764,                0.89349,                 1.2556,                 1.1424,                0.00406,                0.00406,                0.00406
                     62,                 0.9399,                 1.3641,                 1.2145,                0.48759,                0.51126,                0.48907,                0.37844,                 0.8936,                 1.2543,                 1.1424,               0.003961,               0.003961,               0.003961
                     63,                0.93619,                 1.3627,                 1.2095,                 0.4897,                0.50954,                 0.4898,                0.37982,                0.89238,                 1.2526,                 1.1413,               0.003862,               0.003862,               0.003862
                     64,                0.93439,                 1.3596,                  1.207,                0.48394,                0.51478,                0.49128,                0.38096,                 0.8916,                  1.251,                 1.1403,               0.003763,               0.003763,               0.003763
                     65,                0.92835,                 1.3473,                  1.205,                0.48166,                0.52023,                0.49176,                0.38162,                0.89131,                 1.2494,                 1.1393,               0.003664,               0.003664,               0.003664
                     66,                0.92941,                 1.3459,                 1.2031,                0.48273,                0.52081,                0.49222,                0.38217,                0.89031,                 1.2484,                  1.138,               0.003565,               0.003565,               0.003565
                     67,                 0.9199,                  1.334,                 1.1983,                0.47207,                0.52581,                0.49301,                0.38276,                0.88996,                 1.2474,                 1.1375,               0.003466,               0.003466,               0.003466
                     68,                0.91736,                 1.3292,                 1.1955,                0.47389,                0.52304,                0.49422,                0.38381,                0.88939,                 1.2462,                 1.1366,               0.003367,               0.003367,               0.003367
                     69,                0.91717,                 1.3243,                 1.1956,                0.48189,                0.51956,                0.49558,                0.38464,                0.88956,                 1.2452,                 1.1364,               0.003268,               0.003268,               0.003268
                     70,                0.91165,                   1.31,                 1.1921,                0.49909,                0.50946,                0.49618,                0.38546,                0.88984,                 1.2436,                 1.1363,               0.003169,               0.003169,               0.003169
                     71,                0.91079,                 1.3077,                 1.1902,                0.50398,                0.51318,                0.49598,                0.38567,                0.88964,                  1.243,                 1.1361,                0.00307,                0.00307,                0.00307
                     72,                0.90413,                 1.3045,                 1.1857,                0.50287,                 0.5125,                0.49695,                0.38662,                0.89016,                 1.2422,                 1.1363,               0.002971,               0.002971,               0.002971
                     73,                0.90084,                 1.2914,                 1.1834,                0.50249,                 0.5164,                0.49807,                0.38768,                0.88966,                  1.242,                 1.1355,               0.002872,               0.002872,               0.002872
                     74,                0.89902,                 1.2901,                 1.1835,                0.51865,                0.50411,                0.49823,                0.38755,                0.88949,                 1.2409,                 1.1354,               0.002773,               0.002773,               0.002773
                     75,                0.89336,                 1.2811,                 1.1804,                0.53327,                0.50026,                0.49883,                0.38881,                 0.8888,                 1.2398,                 1.1349,               0.002674,               0.002674,               0.002674
                     76,                0.89275,                 1.2779,                 1.1785,                0.52483,                0.50298,                0.49979,                0.38902,                0.88876,                 1.2387,                 1.1344,               0.002575,               0.002575,               0.002575
                     77,                0.88505,                 1.2634,                  1.173,                0.51663,                0.51051,                0.50021,                0.38955,                0.88813,                 1.2376,                 1.1338,               0.002476,               0.002476,               0.002476
                     78,                0.88604,                 1.2582,                 1.1742,                0.51149,                0.51231,                0.50004,                 0.3893,                0.88782,                 1.2366,                 1.1333,               0.002377,               0.002377,               0.002377
                     79,                0.87969,                 1.2508,                 1.1673,                 0.4995,                0.51783,                0.50017,                0.38895,                0.88742,                  1.236,                 1.1323,               0.002278,               0.002278,               0.002278
                     80,                0.87439,                 1.2406,                 1.1653,                0.50019,                0.52512,                0.50048,                0.38885,                0.88781,                 1.2354,                 1.1322,               0.002179,               0.002179,               0.002179
                     81,                0.86815,                 1.2295,                 1.1613,                0.50548,                0.52368,                0.49882,                0.38764,                0.88777,                  1.235,                 1.1318,                0.00208,                0.00208,                0.00208
                     82,                0.86503,                 1.2283,                 1.1598,                0.50087,                0.52942,                0.49818,                0.38708,                  0.888,                  1.235,                 1.1317,               0.001981,               0.001981,               0.001981
                     83,                0.85851,                 1.2141,                  1.155,                0.51356,                0.51189,                0.49744,                0.38628,                0.88813,                 1.2345,                 1.1316,               0.001882,               0.001882,               0.001882
                     84,                0.85942,                  1.213,                 1.1536,                0.51793,                0.51156,                0.49817,                0.38629,                0.88842,                 1.2342,                 1.1316,               0.001783,               0.001783,               0.001783
                     85,                0.85207,                 1.1995,                  1.152,                0.52159,                0.51053,                0.49903,                 0.3878,                0.88865,                 1.2342,                 1.1314,               0.001684,               0.001684,               0.001684
                     86,                0.84806,                 1.1926,                 1.1474,                0.52137,                 0.5109,                0.49961,                0.38813,                0.88872,                 1.2341,                 1.1311,               0.001585,               0.001585,               0.001585
